validity_mean,cont_prox_mean,cat_prox_mean,sparsity_mean,diversity_mean,cont_count_diversity_mean,robustness_mean,fidelity_1nn_0.5_mean,fidelity_1nn_1.0_mean,fidelity_1nn_2.0_mean,validity_sd,cont_prox_sd,cat_prox_sd,sparsity_sd,diversity_sd,cont_count_diversity_sd,robustness_sd,fidelity_1nn_0.5_sd,fidelity_1nn_1.0_sd,fidelity_1nn_2.0_sd,dataset,backend,method,n
100.0,-0.0311053571428571,0.6283333333333333,0.6375,0.1828809523809523,0.4183333333333333,0.8272999999999999,0.6062000000000001,0.5746,0.5578000000000001,0.0,0.0326796799729575,0.051550047598498,0.1405593982786083,0.2403776960532926,0.2534271268865575,0.0344481897605342,0.1281152259144521,0.1431123878479971,0.1531664309029741,compas-recidivism,sklearn,DiCE-Ext,10
100.0,-0.0343333333333333,0.6233333333333333,0.74,0.2463333333333333,0.3,0.7425999999999999,0.515,0.4594999999999999,0.4455999999999999,0.0,0.0392223796030836,0.0916919157145678,0.2412928142780514,0.3190435165178862,0.2748737083745107,0.0764783193678661,0.0877027809010511,0.1220157093711024,0.1436849949639063,adult-income,sklearn,DiCE,10
92.0,-0.9330142857142856,0.6083333333333334,0.0099999999999999,3.484571428571429,0.7016666666666667,0.9405,0.6163000000000001,0.6094999999999999,0.5912,10.327955589886445,0.3296781294866121,0.1184389200295991,0.0316227766016837,0.4311346599220975,0.1673043356902048,0.0434594319132478,0.2774823517911645,0.2537865463556157,0.217910175174186,compas-recidivism,PYT,DiCE,10
80.0,-1.1829538193996705,0.3991666666666666,0.1475,3.4916410987236377,0.655,0.5590666666666667,0.6377999999999999,0.6132,0.5791,29.814239699997195,1.0236350760830428,0.1397997907061433,0.1057053031361772,1.3512173606600035,0.2521573582771943,0.0786956632058425,0.1110993549336208,0.1334864121258123,0.1414837642825336,lending-club,PYT,DiCE,10
100.0,-0.252,0.6333333333333334,0.3,2.400666666666667,0.91,0.8244,0.5467,0.5324,0.5141,0.0,0.0419688302916507,0.0816496580927726,0.1699673171197595,0.3883513745610497,0.0966091783079296,0.0703375986068459,0.1682538095986074,0.1833134534676116,0.1939183390559598,adult-income,PYT,DiCE-Ext,10
100.0,-0.1616095937769797,0.3299999999999999,0.2649999999999999,0.8135404021717869,0.7150000000000001,0.6056,0.4455999999999999,0.3963,0.3403,0.0,0.056651304109511,0.1229272594305718,0.1415195314356918,0.3712484544729446,0.1856669658884483,0.0605515391124692,0.2944849364191279,0.2787890680145913,0.2448414679837638,lending-club,sklearn,DiCE,10
100.0,-0.5583191660600278,0.445,0.17,3.901270880063108,0.7374999999999999,0.6492,0.5819,0.5438,0.4793999999999999,0.0,0.1234838942688076,0.2374049517409253,0.1437590576856521,0.4486641891380461,0.0626387349098871,0.1294095995065452,0.1224585644207868,0.1371364284207518,0.1549840135125053,lending-club,PYT,DiCE-Ext,10
100.0,-1.6025357826143882,0.5149999999999999,0.265,11.042741131695418,0.7125,0.5568,0.5185000000000001,0.4819,0.4059,0.0,1.336938422388474,0.1811230398252954,0.1203005495507906,10.087814117895793,0.1458928450000966,0.0719209442528546,0.2425925940062199,0.2502587327813623,0.2287271300042913,lending-club,sklearn,DiCE-Ext,10
100.0,-1.0786857142857145,0.3466666666666667,0.0699999999999999,7.527499999999999,0.835,0.9032000000000002,0.8301999999999999,0.8282999999999999,0.8276,0.0,0.1983084909840521,0.1209019600776484,0.1251665557034572,0.6239537501393233,0.0883490552046571,0.0241329650063973,0.0899824674280742,0.0855375810844436,0.0762644521823022,compas-recidivism,TF2,DiCE-Ext,10
100.0,-0.0986044358571831,0.7461538461538462,0.5799999999999998,0.9041401849770404,0.5914285714285713,0.8736,0.5848,0.5856,0.585,0.0,0.0191910636071139,0.0524232007698996,0.0556144812215482,0.1553127774576642,0.0547929518614953,0.0458480582407199,0.0759689995253912,0.0775545686024434,0.0371304008417181,german-credit,TF2,DiCE,10
